strain,sphericity,area,oblate,prolate,volume
V13,0.51000,2131.38,0.46000,0.10000,3408.47
V14,0.35995,9082.35,0.44962,0.02539,17576.80
V14,0.29913,7952.15,0.76276,0.00481,10909.10
V14,0.27971,16393.90,0.36843,0.01835,29198.40
V14,0.44039,6971.68,0.37816,0.04176,15996.70
V14,0.35976,7774.25,0.54773,0.02512,13908.30
V14,0.29577,16774.10,0.79194,0.01419,32860.20
V14,0.28600,11994.10,0.75322,0.01056,18891.30
V14,0.51565,2732.43,0.82768,0.04403,4973.06
V14,0.63065,2146.13,0.68901,0.08565,4682.14
V14,0.36619,7965.45,0.31915,0.03636,14813.40
V14,0.33957,7451.15,0.88630,0.01982,11967.40
V14,0.62984,3114.07,0.51342,0.21800,8167.96
V14,0.59937,2397.20,0.67045,0.07764,5121.19
V14,0.54554,3794.16,0.59039,0.07621,8854.93
